movie_id,movie_title,rating,review
5055,Ashes and Diamonds,8.0,"There are so many great things about how this movie is made - the directing, the shots, the tonal quality, and the pacing. Probably most brilliant of all is how the total makes the viewer feel claustophobic. I admit, though, it's a tad dated."
5055,Ashes and Diamonds,8.0,"There are so many great things about how this movie is made - the directing, the shots, the tonal quality, and the pacing. Probably most brilliant of all is how the total makes the viewer feel claustrophobic. I admit, though, it's a tad dated."
5055,Ashes and Diamonds,7.0,"My first Wajda and I really enjoyed it. I thought that Cybulski's performance was great and I loved the scene in the pub where he's lighting vodka shots, which he plays perfectly. The shots of him through the patterned staircase looked amazing in black and white, and especially because of his sunglasses. I did get a bit lost in the politics side of the plot but despite that I didn't get bored and I really liked the romance plot line and the sequence with the drunk secretary. I thought the blood coming through the sheet at the end was a really strong image and the final shot of him running through that kind of wasteland area was a great ending 3.5/5"
5082,La compagna di viaggio,,"This Italian erotic comedy from director Ferdinando Baldi takes place almost entirely on a train! 
Sexual tensions erupt in tight quarters and the female cast tries unsuccessfully to remain clothed in this rare European drool-fest. 
And what a cast!! Annie Belle, Anna Maria Rizzoli, Marisa Mell, 
Marina Hedman(Marina Frajese) and Moana Pozzi (Anna Maria Pozzi) 
all have their turns at shedding their clothes; however, it’s 
newcomer Serena Grandi (making her second film appearance) who 
steals the show as a young soon-to-be-wed virgin who finds herself 
in a compromising situation with the wrong man."
5121,The Sugarland Express,6.0,"Steven Spielberg's first proper cinema movie has some great photography from Vilmos Zsigmond.

The tone is uncertain. A road movie, a tragic comedy with car pile ups that is based on true facts.

Lou Jean Sparrow Poplin (Goldie Hawn) takes her husband Clovis (William Atherton) out of a minimum security prison just weeks before his eventual release.

All to save their child who has been taken away and ready to put up for adoption. They kidnap a police officer which leads to them being pursued by the police and the media.

Goldie Hawn is spiky as Lou Jean but she is also stupidly impulsive.

A story that needed more work, Spielberg does make an accomplished film."
5156,Bicycle Thieves,7.0,"When in Rome... keep an eye on your bicycle! Or else it might be stolen and you'll find yourself fruitlessly searching the streets of Italy, as the father and son do in this classic Italian film.  Lamberto Maggiorani, as the desperate, out of work father, and Enzo Staiola, as his frustrated young son, play off each other nicely and a nice pace keeps things interesting. It's heralded as one of the greatest movies ever made, but personally I don't quite see why. It's a good story none the less, and it kept my attention. There's a very satisfying dose of irony at the end."
5174,Rush Hour 3,2.0,"Arguably works as an example of the sort of red flags one might want to look out for if they suspect that a film's director is (like Brett Ratner) a sex offender.

But as a movie? Nah, not so much.

_Final rating:★ - Of no value. Avoid at all costs._"
5175,Rush Hour 2,4.0,"Didn't know I had a favourite _Rush Hour_ movie until today. I guess I do, and it's this one. Still pretty crap though.

_Final rating:★★ - Definitely not for me, but I sort of get the appeal._"
5175,Rush Hour 2,1.0,"OK, for those of you who, like me, liked Rush Hour, do yourselves a favor and stay away from this.

What we have here is basically Lethal Weapon 4 set in Hong Kong rather than LA. And... it just doesn't work.

Everything (save the stars) that made the first one funny is kind of out of place and forgotten. It's horrible. The fish out of water scenario fits well in Rush Hour, but set in Hong Kong, Tucker comes across as obnoxious instead of funny.

It's horrible."
5176,3:10 to Yuma,10.0,"Most of the time I hate remakes....but I give a big pass to most Western and War movie remakes.

Mainly that's because, until M*A*S*H early war movies had soldiers that looked like they stepped out of the shower and put on a freshly laundered uniform...you know, instead of the realities of life in combat zones.

And the same goes with Westerns, the cowpokes may be riding the range...yet they look like they had the time to shower, shave, style their hair, and press their clothes.

None of that really sat right with me...at all.

The remake righted that wrong.

And it did it without killing the wonderful Elmore Leonard story the movie was based on and let's be honest, he really has the best ideas for crime and western stories the world has ever seen."
