Movie ID,Movie Title,Rating,Review
58,Pirates of the Caribbean: Dead Man's Chest,8.0,Part 2 introduces Davy Jones. Jack Sparrow has owed Davy a debt. Now Davy intends to make Jack make good on that debt. One way or another. Really awesome sequel.
59,A History of Violence,7.0,"Probably Cronenberg's most mundane work, but that's not even remotely a knock against _A History of Violence_. I hear tell that fans of the comic don't much like this big screen re-telling, but I've never read it, so I'm gonna go ahead and really enjoy it anyway.

_Final rating:★★★½ - I really liked it. Would strongly recommend you give it your time._"
62,2001: A Space Odyssey,8.0,"I believe that we should call it a modernism show, albeit exhibited in the form of a movie. While it might feel ""boring"", it forces you to rethink what philosophical level that a two-hour film can achieve. The focus on questions about life, intelligence, and time, is worth more attention than the sci-fi part (though the special effect of this movie is already way ahead of its time)."
62,2001: A Space Odyssey,10.0,"The eighth wonder of the world. Easily 30+ viewings since I was a little kid. Nothing new to say here; simply wanted to add another pair of hands to the ocean of applause for my absolute favorite thing, the only indisputably perfect movie, the answer to the question of Is Life Worth Living, Man's greatest achievement, two thousand one a burger-flipping space odyssey"
62,2001: A Space Odyssey,10.0,"Absolute classic, must see, one of the best scifi movies ever made"
63,Twelve Monkeys,8.0,"Really good sci-fi thriller with wonderful performances by Bruce Willis, Madeline Stowe and Brad Pitt. Really well done by director Terry Gilliam that has great pacing through the two hour running time. **4.0/5**"
64,Talk to Her,8.0,"Now this is…really something different like the story and Benigno. I know what he did was so so wrong but I felt bad for him. Such a heartbreaking story and I love how the friendship was formed, although I really didn’t care about the writer and matador. I just couldn’t stop watching this film when I saw it on Sundance, until the ending, like the butt shakin partner dance before the end credits. It may be the music. And of course…Paz Vega’s black and white silent film, the shrinking man who went inside her…literally!"
65,8 Mile,6.0,Eminem turned out to be a pretty decent actor. I love battle raps. Honestly he's one of if not the best to ever do it!
68,Brazil,10.0,"One of my all time favourite sci fi movies. Set the bench mark for modern sci fi, should be considered a great like Blade Runner.
Great acting, story, soundtrack! 5/5"
73,American History X,9.0,"Despite having a somewhat weak cast, this is an incredibly poignant drama of one man's struggle to live a new life. Probably too violent and close-to-home for some."
73,American History X,5.0,There's really no point to the movie. Just a lot of violence. That's pretty much it.
74,War of the Worlds,5.0,"First time seeing this in 15 years and lame plot, annoying characters (both kids got on my nerves) and a protagonist who just runs around, as Tom Cruise does so well, but has zero impact on the end game which was... bacteria. Yeah, this was just as dumb today as it was back then. At least the visual effects and sound design still holds up. **2.5/5**"
