movie_id,content,rating
10002,Really good British neo-noir featuring great performances from Bob Hoskins and the lovely Cathy Tyson who share some nice scenes together and a pretty melancholy ending. Michael Caine is great as a classy scumbag (seems like he played many of these roles in the 70s and 80s). This is the second time seeing this and still holds up. **4.0/5**,8.0
10002,"I had watched this movie many years ago, but not to remember much of it, so with the fairly positive ratings and Bob Hoskins, it felt like a safe bet. But there wasn’t as much humor as I thought I remembered, and the plot of a guy trying to “rescue” a hooker seems rather stereotypical and predictable in places. It didn’t do much for me and I barely stuck with it. I was so unimpressed that I decided not to watch another gangster movie featuring Hoskins and good ratings.",6.0
10003,"Good watch, would watch again, and can't confidently recommend.

This movie is definitely dated.  Val Kilmer was still riding on ""I was Batman"" and a bunch of Hollywood actors had decided to have a go at being the next action (/spy) guy, and I think it was to try to knock Tom Cruise out of his position (like that worked).

This international spy of mysterious origin, even with an entire backstory as a prelude in the beginning of the movie, just so happens to be targeting ""cold fusion"", so we get a sci-fi edge.

The person that happens to make the most plausible progress on cold fusion just happens to be a ""stunningly beautiful woman"", Elisabeth Shue, with a heart condition to top everything off.

The actual movie experience was good, I promise, but thinking back on things, it all sounds so ridiculous.  There is a lot of underlying romantic comedy at play here, and if I'm honest, I don't think they movie knew what it wanted to be: mob movie, sci-fi discovery, rom com, action / spy, political intrigue, catholic revolution, or orphan identity.

Most of the fun stuff is spy versus Russian mob or cute rom com stuff, but you could probably get a better experience for either in different movies.

It's a good time, but given all the options out there, you're probably better off looking for a more modern spy movie.",6.0
10003,"By no means a great movie but for some reason have been drawn to this one, seeing it 3-4 times over the years. For the most part entertaining though the dialogue was pretty bad, however I like Val Kilmer in the lead and shares some nice scenes with the lovely Elisabeth Shue. **3.5/5**",7.0
10003,"Absolutely love this movie. I find it charming, alluring and I seem drawn to it when the weather gets cooler, which probably has something to do with much of the film's setting in Moscow. Kilmer's role almost feels like that of a super hero, with a childhood trauma that still haunts him. The beautiful and vulnerable Elizabeth Shue complements the confident Kilmer. The villains are fun to despise, and the action scenes feel more fun because everyone is freezing their butts off while the viewer is comfortable on their recliner. It makes me nostalgic for this near-millennium period of filmmaking, which for whatever reason also brings to mind films like Sabrina (call me crazy).",8.0
10003,"**One of the worst espionage films of all time, in my opinion.**

Anyone who saw the original series, from the 60s, with Sir Roger Moore in the lead role (he later took on the character of another charming secret agent, James Bond, who made him world-famous), will never forget it. It was arguably one of the best-made European series of that time, and was a huge success. I've never seen it all, although I'd like to, especially because I'm not that old. I saw some episodes released on TV channels dedicated to old programming, and I recognize that there is no way to compare the original product with this film, which is much inferior.

Technically, the film seeks to make everything that was most advanced available to the production, but it still doesn't give us a great visual spectacle. Any film in the 007 franchise from the Pierce Brosnan era (roughly the same time) can be much better, more visually stunning and better executed. From the sets to the editing, to the cinematography, costumes and special effects, the film never manages to be as incredible as it would need to be to enchant us. This does not mean that it is poorly executed or makes very glaring errors in this area! It's simply more of the same.

Val Kilmer is not a bad actor, but he is one of those actors who need to be very well directed to get where you want him to go. I've seen him in other films where he's simply impeccable, so I can't blame him entirely for being such a slob in this film. Personally, I think that the material he was given to work with was already bad and that the director, Phillip Noyce, was not able to help the actor as he needed. However, it is fair to mention that Kilmer was, even so, the most competent actor present in this film! Elizabeth Shue has nothing more to do than be the damsel in distress of the day and the hero's more than obvious romantic interest (the old misogynistic cliché of the woman as a reward trophy at the end of the feat), if only because that spend the entire film showing how needy she feels! It's degrading and sad! The actress is terrible and doesn't go beyond a mediocre effort. Even worse are the two villains, Rade Serbedzija and Valeriy Nikolaev. The first still shows some qualities as an actor and tries to do something convincing, but he is stuck with the oldest clichés about corrupt Russian oligarchs, and the second is just the brutal sidekick with narcissistic and sociopathic tics.

The film might not have sunk completely if it had at least had a script worthy of the name. Unfortunately, Noyce consented to direct one of the worst spy movie scripts I've ever seen. It starts by taking one of the most fanciful and idiotic myths in nuclear physics, which is cold fusion, something that any school teacher in the area will be able to explain very easily is impractical. Then, it invents an energy crisis in Russia! In one of the world's largest producers of oil and natural gas! It's something so absurd that you can't believe it, even considering that this crisis could be caused by a group of people with an interest in destabilizing the country. Wasn't there really a more seductive or appealing plot that could have been used?",2.0
10008,Kind of boring. It's a good plot and storyline. Nothing really to keep you interested.,5.0
10009,"Heartwarming, if not as impactful as it intends to be.

<em>'Brother Bear'</em> leaves heartfelt feelings and features a cute story. It does get a bit too melancholic in moments where it doesn't need to be or where it's not set up perfectly. It can also feel a little predictable, but the twist is decent enough. Animation-wise it's fine, while that early aspect ratio stuff is oddly done.

The voice cast aren't amazing, despite the talents of Joaquin Phoenix (Kenai) and Michael Clarke Duncan (Tug). Rick Moranis and Dave Thomas are pretty amusing as Rutt and Tuke though. As a whole, I just don't feel the voices suit the characters greatly.

The pacing is pretty good while Phil Collins does a satisfactory job with the music, not sure how I feel about the ending though. Overall, it's very much mid-range Disney.",7.0
10009,"""Kenai"" is a young Inuit warrior who disturbs the spirits when he kills a bear. His punishment is to be turned into one himself, and be left to wander the wilderness alone. Luckily, he encounters the young cub ""Koda"" who thinks he might know the exact spot where ""Kenai"" might be restored to his humanity. What doesn't help their quest is that his human brother ""Denahi"" thinks that ""Kenai"" has been killed by a bear, and so is chasing his new form with lethal intent. As the two bears start to bond, they have some fun escapades, meet the ""Stadler & Waldorf"" of the moose fraternity and ""Kenai"" learns the values of friendship, loyalty and community - as well as how to catch some leaping salmon! The quality of the animation, the Phil Collins-led soundtrack (with a decent number from Tina Turner too) and the spirituality of the whole thing is breezy and enjoyable to watch. The young ""Koda"" reminded me frequently of a sort of ""Mowgli"" character. Friendly and playful but still staying on the right side of annoying. I also rather liked the denouement - that, too, had a sort of joy to it that exemplified the symbiotic nature of the relationship that ought to exist between mankind and the rest of nature. Characterful animations and cave paintings too! Worth a watch, definitely.",7.0
10010,"Didn't expect this to be good, and yet it is.

<em>'Brother Bear 2'</em> can feel like a slight retread and it does the overdone Disney romance stuff, it also ends as dissatisfying as the original. With all that noted, it is actually an enjoyable and respectable sequel. The new characters are fun, as the older ones remain just that.

The animation looks similar, leaving equal impressions to the 2003 production. Patrick Dempsey is arguably better as Kenai than Joaquin Phoenix, or at least his voice suits better. The music, as much as I do like Phil Collins' efforts, is definitely improved here in my opinion.

All in all, given all that I've mentioned, it still tallies up lower than the first film. However, it does do some things well and it merits credit for that.",7.0
